"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R260","2020-03-17 00:00:00","76.000","62.000","1.800","20.300","0.500","1011.600","","0.000","-99.000","-99.000","-99.000","26.600","","16.400",""
"C0G880","2020-03-17 00:00:00","92.000","117.000","0.900","18.000","0.750","1009.700","","0.000","-99.000","-99.000","-99.000","25.100","","15.400",""
"C0R520","2020-03-17 00:00:00","18.000","0.000","0.200","20.300","0.750","1019.000","","0.000","-99.000","-99.000","-99.000","25.600","","16.600",""
"C0O810","2020-03-17 00:00:00","161.000","52.000","0.500","16.500","0.990","1002.700","","0.000","-99.000","-99.000","-99.000","27.500","","15.000",""
"C0E790","2020-03-17 00:00:00","344.000","270.000","0.400","16.300","0.860","980.500","","0.000","-99.000","-99.000","-99.000","23.100","","12.400",""
"C0F9Y0","2020-03-17 00:00:00","3313.000","309.000","4.300","3.100","0.970","687.900","","0.000","11.500","341.000","","10.000","","1.200",""
"C0S930","2020-03-17 00:00:00","248.000","0.000","0.200","15.900","0.810","994.800","","0.000","-99.000","-99.000","-99.000","20.500","","14.100",""
"C0K550","2020-03-17 00:00:00","15.000","0.000","0.000","18.800","0.750","1019.100","","0.000","-99.000","-99.000","-99.000","24.900","","15.000",""
"C0R350","2020-03-17 00:00:00","35.000","51.000","4.000","19.700","0.680","1017.400","","0.000","-99.000","-99.000","-99.000","23.200","","18.600",""
"C0T9F0","2020-03-17 00:00:00","251.000","277.000","1.000","14.800","0.710","994.000","","0.000","-99.000","-99.000","-99.000","17.800","","14.200",""
"C0D390","2020-03-17 00:00:00","146.000","0.000","0.000","16.300","0.740","1001.800","","0.000","-99.000","-99.000","-99.000","26.700","","12.000",""
"C0E430","2020-03-17 00:00:00","258.000","185.000","1.900","15.200","0.850","994.100","","0.000","-99.000","-99.000","-99.000","24.000","","12.200",""
"CM0010","2020-03-17 00:00:00","68.000","0.000","0.000","18.100","0.500","1013.500","","0.000","-99.000","-99.000","-99.000","23.200","","11.200",""
"C0K500","2020-03-17 00:00:00","12.000","215.000","0.500","19.500","0.700","1018.000","","0.000","-99.000","-99.000","-99.000","25.100","","14.900",""
"C0X260","2020-03-17 00:00:00","39.000","150.000","0.300","18.900","0.760","1016.700","","0.000","-99.000","-99.000","-99.000","24.900","","16.100",""
"C0ACA0","2020-03-17 00:00:00","25.000","38.000","0.600","19.000","0.430","1016.700","","0.000","-99.000","-99.000","-99.000","23.200","","15.600",""
"C0X180","2020-03-17 00:00:00","62.000","0.000","0.000","17.900","0.890","1012.300","","0.000","-99.000","-99.000","-99.000","25.500","","15.800",""
"C0F930","2020-03-17 00:00:00","100.000","109.000","0.800","18.300","0.760","1008.400","","0.000","-99.000","-99.000","-99.000","24.600","","14.300",""
"C0I010","2020-03-17 00:00:00","1562.000","138.000","1.200","10.000","0.640","852.500","","0.000","-99.000","-99.000","-99.000","18.400","","6.500",""
"C0R190","2020-03-17 00:00:00","32.000","115.000","0.800","18.900","0.900","1016.400","","0.000","-99.000","-99.000","-99.000","26.900","","15.200",""
"C0E420","2020-03-17 00:00:00","19.000","0.000","0.000","17.600","0.730","1016.000","","0.000","-99.000","-99.000","-99.000","24.200","","11.900",""
"C0I460","2020-03-17 00:00:00","110.000","220.000","1.000","17.900","0.750","1007.900","","0.000","-99.000","-99.000","-99.000","25.700","","15.100",""
"C0A9F0","2020-03-17 00:00:00","35.000","98.000","0.600","19.300","0.460","1017.600","","0.000","-99.000","-99.000","-99.000","23.300","","15.200",""
"C0F9A0","2020-03-17 00:00:00","425.000","288.000","0.800","17.000","0.690","971.600","","0.000","-99.000","-99.000","-99.000","23.800","","14.200",""
"C0O950","2020-03-17 00:00:00","4.000","0.000","0.000","18.600","0.770","1019.400","","0.000","-99.000","-99.000","-99.000","25.100","","16.000",""
"C0M760","2020-03-17 00:00:00","40.000","0.000","0.000","19.600","0.680","1016.200","","0.000","-99.000","-99.000","-99.000","25.300","","16.000",""
"C0AH70","2020-03-17 00:00:00","34.000","80.000","1.400","19.600","0.420","1017.300","","0.000","-99.000","-99.000","-99.000","23.500","","14.600",""
"C0V250","2020-03-17 00:00:00","298.000","105.000","1.000","17.200","0.870","986.000","","0.000","-99.000","-99.000","-99.000","26.900","","13.700",""
"C0U980","2020-03-17 00:00:00","573.000","166.000","2.500","13.300","0.710","957.600","","0.000","-99.000","-99.000","-99.000","17.900","","10.000",""
"C0S740","2020-03-17 00:00:00","289.000","16.000","0.500","14.800","0.920","990.800","","0.000","-99.000","-99.000","-99.000","19.500","","13.500",""
"C0A940","2020-03-17 00:00:00","49.000","171.000","0.900","15.800","0.650","1015.700","","0.000","-99.000","-99.000","-99.000","22.800","","11.600",""
"C0A920","2020-03-17 00:00:00","196.000","132.000","3.100","17.400","0.540","996.400","","0.000","-99.000","-99.000","-99.000","21.200","","14.000",""
"C0T870","2020-03-17 00:00:00","135.000","0.000","0.100","10.900","0.990","1007.400","","0.000","-99.000","-99.000","-99.000","18.800","","10.900",""
"C0O930","2020-03-17 00:00:00","69.000","0.000","0.000","17.200","1.000","1012.500","","0.000","-99.000","-99.000","-99.000","28.300","","14.000",""
"C0AI40","2020-03-17 00:00:00","37.000","-99.000","-99.000","19.600","0.440","1016.800","","0.000","-99.000","-99.000","-99.000","23.300","","16.000",""
"C0C460","2020-03-17 00:00:00","482.000","0.000","0.000","15.900","0.570","966.100","","0.000","-99.000","-99.000","-99.000","24.200","","12.900",""
"C0E520","2020-03-17 00:00:00","320.000","0.000","0.000","13.600","0.970","985.000","","0.000","-99.000","-99.000","-99.000","24.900","","9.300",""
"C0T9D0","2020-03-17 00:00:00","7.000","0.000","0.000","14.300","0.850","1022.600","","0.000","-99.000","-99.000","-99.000","21.600","","13.200",""
"C0I390","2020-03-17 00:00:00","1184.000","93.000","0.900","11.000","0.920","891.200","","0.000","-99.000","-99.000","-99.000","19.400","","6.000",""
"C0B020","2020-03-17 00:00:00","86.000","113.000","5.800","18.400","0.530","1009.300","","0.000","-99.000","-99.000","-99.000","20.400","","15.800",""
"CM0170","2020-03-17 00:00:00","106.000","105.000","2.900","17.200","0.790","1009.400","","0.000","-99.000","-99.000","-99.000","23.900","","14.300",""
"C0F860","2020-03-17 00:00:00","2215.000","218.000","1.500","9.000","0.470","783.900","","0.000","-99.000","-99.000","-99.000","15.200","","2.600",""
